figure,topic,section,source,recommended_position,core_conclusion,png,pdf,svg
Fig5_19_ablation_probability_inset_2x3,A1-A6 probability evolution with transition insets,5.3 消融概率机制,ablation_probabilities_test_C6.csv,第五章 5.3 消融机制重点图,局部放大显示 ordered/final 模块在过渡区抑制概率抖动。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_ablation\Fig5_19_ablation_probability_inset_2x3.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_ablation\Fig5_19_ablation_probability_inset_2x3.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_ablation\Fig5_19_ablation_probability_inset_2x3.svg
Fig5_11_ablation_summary_panel,Ablation overview panel,5.3 消融实验,Table10_ablation_summary.csv,第五章 5.3 消融结果总览,A6 在分类性能与概率平滑之间取得折中。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_ablation\Fig5_11_ablation_summary_panel.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_ablation\Fig5_11_ablation_summary_panel.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_ablation\Fig5_11_ablation_summary_panel.svg
Fig5_12_ablation_tradeoff,Accuracy-smoothness tradeoff,5.3 消融实验,Table10_ablation_summary.csv,第五章 5.3 trade-off 分析,A4 分类最高，A5 最平滑，A6 是最终折中输出。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_ablation\Fig5_12_ablation_tradeoff.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_ablation\Fig5_12_ablation_tradeoff.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_ablation\Fig5_12_ablation_tradeoff.svg
Fig5_13_q_evolution_consistency,q_true vs q_pred scatter/evolution/error,5.4 q 表征一致性,Data_5_4_A6_probability_wear_trajectory.csv,第五章 5.4 q 一致性分析,连续退化位置估计与真实退化位置同步演化。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_q_representation\Fig5_13_q_evolution_consistency.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_q_representation\Fig5_13_q_evolution_consistency.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_q_representation\Fig5_13_q_evolution_consistency.svg
Fig5_14_q_stage_distribution,Stage-wise q distribution,5.4 q 表征一致性,Data_5_4_A6_probability_wear_trajectory.csv,第五章 5.4 阶段语义递增分析,预测阶段 E/M/L 对应退化位置递增，说明阶段概率具有退化语义。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_q_representation\Fig5_14_q_stage_distribution.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_q_representation\Fig5_14_q_stage_distribution.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_q_representation\Fig5_14_q_stage_distribution.svg
Fig5_15_q_probability_phase,q-probability phase trajectory,5.4 概率-q 联合表征,Data_5_4_A6_probability_wear_trajectory.csv,第五章 5.4 联合状态表征,阶段概率差异与连续退化位置共同形成有序生命周期轨迹。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_q_representation\Fig5_15_q_probability_phase.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_q_representation\Fig5_15_q_probability_phase.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_q_representation\Fig5_15_q_probability_phase.svg
Fig5_S2_3D_stage_probability_surface,3D stage probability surface,5.4 附录扩展,Data_5_4_A6_probability_wear_trajectory.csv,附录或高质量备选图,三维曲面展示阶段概率沿生命周期与阶段轴的连续演化。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_appendix\Fig5_S2_3D_stage_probability_surface.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_appendix\Fig5_S2_3D_stage_probability_surface.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_appendix\Fig5_S2_3D_stage_probability_surface.svg
Fig5_S3_3D_wear_probability_surface,3D confidence surface coupled with q_pred,5.4 附录扩展,Data_5_4_A6_probability_wear_trajectory.csv,附录或高质量备选图,最大阶段概率与连续退化位置共同形成平滑置信曲面。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_appendix\Fig5_S3_3D_wear_probability_surface.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_appendix\Fig5_S3_3D_wear_probability_surface.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_appendix\Fig5_S3_3D_wear_probability_surface.svg
Fig5_20_representation_space_grid_proxy,PCA grid of probability-state proxy representations,5.4 表征空间扩展,FINAL_comparison_predictions.csv,第五章 5.4 表征空间备选图,在未导出 hidden feature 的情况下，概率状态代理表征沿退化阶段呈连续结构。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_q_representation\Fig5_20_representation_space_grid_proxy.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_q_representation\Fig5_20_representation_space_grid_proxy.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_q_representation\Fig5_20_representation_space_grid_proxy.svg
Fig5_16_cross_condition_overview_heatmap,Cross-condition task-method heatmap,5.2 跨工况泛化,Table12/Table13 cross condition results,第五章 5.2 跨工况总览,B12 在多种跨工况任务中保持较高泛化性能和平滑性。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_16_cross_condition_overview_heatmap.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_16_cross_condition_overview_heatmap.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_16_cross_condition_overview_heatmap.svg
Fig5_17_cross_condition_mean_std,Mean/std point-range plot,5.2 跨工况泛化,Table14_average_cross_condition_performance.csv,第五章 5.2 平均泛化性能,B12 在平均意义下表现稳定，尤其在平滑性与 middle 识别上波动较小。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_17_cross_condition_mean_std.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_17_cross_condition_mean_std.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_17_cross_condition_mean_std.svg
Fig5_18_cross_condition_probability_cases,B12 probability cases across tasks,5.2 跨工况泛化,cross_condition_B12_probabilities.csv,第五章 5.2 跨工况案例图,不同跨工况任务中，B12 的阶段概率仍呈有序演化。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_18_cross_condition_probability_cases.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_18_cross_condition_probability_cases.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_18_cross_condition_probability_cases.svg
Fig5_21_cross_condition_qhat_small_multiples,Cross-condition q-hat small multiples with insets,5.2/5.4 跨工况 q 演化,cross_condition_B12_probabilities.csv,第五章 5.2 跨工况案例或附录,B12 在不同迁移任务下的退化位置估计均呈随生命周期上升的趋势。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_21_cross_condition_qhat_small_multiples.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_21_cross_condition_qhat_small_multiples.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_21_cross_condition_qhat_small_multiples.svg
Fig5_22_cross_condition_probability_small_multiples,Cross-condition probability small multiples,5.2 跨工况概率演化,cross_condition_B12_probabilities.csv,第五章 5.2 跨工况阶段概率演化,不同迁移任务中，FGDS-PSI 均形成 early-middle-late 的概率主导迁移。,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_22_cross_condition_probability_small_multiples.png,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_22_cross_condition_probability_small_multiples.pdf,C:\Users\wangting\Desktop\博士开题\公开数据\1PHM\PHM实验\小论文\10_第五章顶刊风格可视化\figures_cross_condition\Fig5_22_cross_condition_probability_small_multiples.svg
